run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,1,0.6,3.23809523807,3.23809523807,0,0,0,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0,0,2.18261654128,2.1672727272,0.0153438140805,0.0153438140805,0.00707977998706,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0,0.3,2.3187054541,2.37415664133,-0.0554511872298,0.0554511872298,0.0233561620428,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0,0.6,2.73280023923,2.75032120293,-0.0175209636996,0.0175209636996,0.00637051544413,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0,1,2.91202830002,2.93291944096,-0.0208911409327,0.0208911409327,0.00712298491425,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.25,0,2.92327221029,2.85040974521,0.0728624650824,0.0728624650824,0.0255621021521,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.25,0.3,2.60293818294,2.59184830534,0.0110898776024,0.0110898776024,0.00427875257189,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.25,0.6,2.80644114705,2.81922388674,-0.0127827396862,0.0127827396862,0.00453413428651,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.25,1,2.9773645332,2.99020674345,-0.0128422102468,0.0128422102468,0.00429475663344,s1_sysrisk_samegrid
