run_id,stage,task,example,runtime_seconds,status,S,A,coverage_min,min_visits_min,final_residual_max
s5_ideal_seir_n10_a10,stage5_grid_sensitivity,idealized_profile,seir,72.411,done,286,11,,,9.400871192610794e-10
s5_ideal_seir_n12_a10,stage5_grid_sensitivity,idealized_profile,seir,110.455,done,455,11,,,9.671663470101066e-10
s5_ideal_seir_n8_a10,stage5_grid_sensitivity,idealized_profile,seir,44.246,done,165,11,,,9.800382727576107e-10
s5_ideal_seir_n8_a20,stage5_grid_sensitivity,idealized_profile,seir,77.341,done,165,21,,,9.785368071391076e-10
s5_ideal_sis_n12_a10,stage5_grid_sensitivity,idealized_profile,sis,1.328,done,13,11,,,7.450582373280668e-10
s5_ideal_sis_n12_a20,stage5_grid_sensitivity,idealized_profile,sis,1.966,done,13,21,,,7.372973342967271e-10
s5_ideal_sis_n16_a10,stage5_grid_sensitivity,idealized_profile,sis,1.553,done,17,11,,,7.334168827810572e-10
s5_ideal_sis_n20_a10,stage5_grid_sensitivity,idealized_profile,sis,1.784,done,21,11,,,7.450584593726717e-10
s5_ideal_sysrisk_n5_a2,stage5_grid_sensitivity,idealized_profile,sysrisk,12.071,done,21,216,,,9.995089200742768e-10
s5_ideal_sysrisk_n5_a3,stage5_grid_sensitivity,idealized_profile,sysrisk,50.099,done,21,1000,,,9.313225746154785e-10
s5_ideal_sysrisk_n5_a5,stage5_grid_sensitivity,idealized_profile,sysrisk,420.443,done,21,9261,,,9.313225746154785e-10
s5_sampled_seir_n10_a10_seed00,stage5_grid_sensitivity,sampled_profile,seir,650.596,done,286,11,100.0,953.0,
s5_sampled_seir_n10_a10_seed01,stage5_grid_sensitivity,sampled_profile,seir,641.608,done,286,11,100.0,953.0,
s5_sampled_seir_n10_a10_seed02,stage5_grid_sensitivity,sampled_profile,seir,645.082,done,286,11,100.0,953.0,
s5_sampled_seir_n10_a10_seed03,stage5_grid_sensitivity,sampled_profile,seir,637.793,done,286,11,100.0,953.0,
s5_sampled_seir_n10_a10_seed04,stage5_grid_sensitivity,sampled_profile,seir,679.156,done,286,11,100.0,953.0,
s5_sampled_sis_n20_a10_seed00,stage5_grid_sensitivity,sampled_profile,sis,221.183,done,21,11,100.0,4329.0,
s5_sampled_sis_n20_a10_seed01,stage5_grid_sensitivity,sampled_profile,sis,222.273,done,21,11,100.0,4329.0,
s5_sampled_sis_n20_a10_seed02,stage5_grid_sensitivity,sampled_profile,sis,235.689,done,21,11,100.0,4329.0,
s5_sampled_sis_n20_a10_seed03,stage5_grid_sensitivity,sampled_profile,sis,222.388,done,21,11,100.0,4329.0,
s5_sampled_sis_n20_a10_seed04,stage5_grid_sensitivity,sampled_profile,sis,221.673,done,21,11,100.0,4329.0,
s5_sampled_sysrisk_n5_a3_seed00,stage5_grid_sensitivity,sampled_profile,sysrisk,2152.104,done,21,1000,100.0,476.0,
s5_sampled_sysrisk_n5_a3_seed01,stage5_grid_sensitivity,sampled_profile,sysrisk,2134.092,done,21,1000,100.0,476.0,
s5_sampled_sysrisk_n5_a3_seed02,stage5_grid_sensitivity,sampled_profile,sysrisk,2257.742,done,21,1000,100.0,476.0,
s5_sampled_sysrisk_n5_a3_seed03,stage5_grid_sensitivity,sampled_profile,sysrisk,2109.813,done,21,1000,100.0,476.0,
s5_sampled_sysrisk_n5_a3_seed04,stage5_grid_sensitivity,sampled_profile,sysrisk,2128.749,done,21,1000,100.0,476.0,
