run_id,stage,task,solver,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,cost
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.125,0.3,2.62775405768
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.125,0.5,2.62943117125
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.125,0.75,2.62943117125
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.125,1,2.62943117125
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0,2.62928223736
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.005,2.61732383028
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.01,2.61671857594
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.02,2.61564684995
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.03,2.61469976612
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.04,2.61441560795
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.05,2.61638305954
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.06,2.61624912986
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.08,2.61720733373
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.1,2.61893389453
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.15,2.62345689048
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.2,2.6324166479
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.3,2.63627909147
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.5,2.63757237127
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,0.75,2.63757237127
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.25,1,2.63757237127
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0,2.65839097923
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.005,2.63997908927
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.01,2.63896700591
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.02,2.63758290145
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.03,2.63628169228
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.04,2.6355727726
