run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id,outlier_threshold
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,0.5,0,3.63397920081,3.52616780039,0.107811400421,0.107811400421,0.0305746653377,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,10000000,0.5,0,3.63397920081,3.52616780039,0.107811400421,0.107811400421,0.0305746653377,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.5,0,3.63387848926,3.52616780039,0.107710688871,0.107710688871,0.0305461041473,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,5000000,0.5,0,3.63387848926,3.52616780039,0.107710688871,0.107710688871,0.0305461041473,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.85,5000000,0.5,0,3.63387848926,3.52616780039,0.107710688871,0.107710688871,0.0305461041473,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,10000000,0.5,0,3.63362811785,3.52616780039,0.10746031746,0.10746031746,0.0304751003194,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,10000000,1,0,4.95999999995,4.85333333329,0.106666666665,0.106666666665,0.0219780219779,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,10000000,1,0,4.95999999995,4.85333333329,0.106666666665,0.106666666665,0.0219780219779,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,0,4.29787755093,4.19400696856,0.103870582373,0.103870582373,0.0247664305642,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,5000000,0.75,0,4.29787755093,4.19400696856,0.103870582373,0.103870582373,0.0247664305642,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.85,5000000,0.75,0,4.29787755093,4.19400696856,0.103870582373,0.103870582373,0.0247664305642,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,1,1,3.27619047617,3.37904761902,-0.102857142856,0.102857142856,0.0304396843291,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,5000000,1,1,3.27619047617,3.37904761902,-0.102857142856,0.102857142856,0.0304396843291,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,1,1,3.27619047617,3.37904761902,-0.102857142856,0.102857142856,0.0304396843291,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,10000000,0.75,0.3,3.2545669952,3.1541974164,0.100369578797,0.100369578797,0.0318209565055,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,10000000,0.75,0.3,3.2545669952,3.1541974164,0.100369578797,0.100369578797,0.0318209565055,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,10000000,0.75,0.3,3.2545669952,3.1541974164,0.100369578797,0.100369578797,0.0318209565055,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,10000000,1,0.3,3.64952380949,3.55238095235,0.0971428571429,0.0971428571429,0.0273458445043,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,10000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,5000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,5000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,10000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,5000000,1,1,3.28190476188,3.37904761902,-0.0971428571416,0.0971428571416,0.0287485907552,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,0.3,3.25064299585,3.1541974164,0.0964455794465,0.0964455794465,0.0305769001474,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,5000000,0.75,0.3,3.25064299585,3.1541974164,0.0964455794465,0.0964455794465,0.0305769001474,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,5000000,0.5,0,3.62139776364,3.52616780039,0.0952299632493,0.0952299632493,0.0270066453556,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,5000000,0.5,0,3.6200735006,3.52616780039,0.0939057002107,0.0939057002107,0.0266310923151,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,5000000,0.5,0,3.61828117907,3.52616780039,0.0921133786844,0.0921133786844,0.0261228007,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,5000000,0.75,0.3,3.24625058007,3.1541974164,0.0920531636667,0.0920531636667,0.0291843380468,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,5000000,0.75,0.3,3.24625058007,3.1541974164,0.0920531636667,0.0920531636667,0.0291843380468,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,5000000,0.75,0.3,3.24619155044,3.1541974164,0.0919941340361,0.0919941340361,0.029165623419,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,0.75,0.3,3.24613252081,3.1541974164,0.0919351044056,0.0919351044056,0.0291469087913,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,10000000,0.75,0.3,3.24613252081,3.1541974164,0.0919351044056,0.0919351044056,0.0291469087913,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,1,0.3,3.63999999997,3.55238095235,0.087619047619,0.087619047619,0.0246648793568,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,5000000,1,0.3,3.63999999997,3.55238095235,0.087619047619,0.087619047619,0.0246648793568,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,5000000,1,0.3,3.63999999997,3.55238095235,0.087619047619,0.087619047619,0.0246648793568,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,10000000,0.5,0,3.61365986388,3.52616780039,0.0874920634916,0.0874920634916,0.0248122234801,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,5000000,0.75,0,4.280551684,4.19400696856,0.0865447154462,0.0865447154462,0.0206353294344,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,5000000,0.75,0,4.280551684,4.19400696856,0.0865447154462,0.0865447154462,0.0206353294344,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.85,5000000,0.75,0,4.280551684,4.19400696856,0.0865447154462,0.0865447154462,0.0206353294344,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,0.75,1,3.1067529667,3.19328718448,-0.0865342177769,0.0865342177769,0.0270987896728,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,10000000,1,0.3,3.63428571426,3.55238095235,0.0819047619048,0.0819047619048,0.0230563002683,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,10000000,1,0.3,3.63428571426,3.55238095235,0.0819047619048,0.0819047619048,0.0230563002683,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,10000000,1,0.3,3.63428571426,3.55238095235,0.0819047619048,0.0819047619048,0.0230563002683,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0,0.3,2.29352522841,2.37415664133,-0.0806314129199,0.0806314129199,0.0339621284949,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,5000000,0,0.3,2.29352522841,2.37415664133,-0.0806314129199,0.0806314129199,0.0339621284949,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,5000000,0,0.3,2.29352522841,2.37415664133,-0.0806314129199,0.0806314129199,0.0339621284949,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.75,5000000,0.75,1,3.11289132971,3.19328718448,-0.0803958547702,0.0803958547702,0.0251765187801,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,10000000,0.75,1,3.11402100578,3.19328718448,-0.0792661787024,0.0792661787024,0.0248227528948,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,10000000,0.75,1,3.11402100578,3.19328718448,-0.0792661787024,0.0792661787024,0.0248227528948,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,5000000,0.75,0.3,3.23345212906,3.1541974164,0.0792547126508,0.0792547126508,0.025126744521,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,10000000,0.75,0,4.27317073162,4.19400696856,0.0791637630653,0.0791637630653,0.0188754486244,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.85,10000000,0.75,0,4.27317073162,4.19400696856,0.0791637630653,0.0791637630653,0.0188754486244,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0.5,0.3,2.92419649786,2.84532654751,0.0788699503456,0.0788699503456,0.027719120821,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.8,5000000,0.5,0.3,2.92419649786,2.84532654751,0.0788699503456,0.0788699503456,0.027719120821,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.85,5000000,0.5,0.3,2.92419649786,2.84532654751,0.0788699503456,0.0788699503456,0.027719120821,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,10000000,0.5,0.3,2.92171360418,2.84532654751,0.0763870566611,0.0763870566611,0.0268464991225,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,0.25,0,2.92582945728,2.85040974521,0.0754197120706,0.0754197120706,0.0264592528135,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,0.5,1,2.99757555558,3.07229131016,-0.0747157545872,0.0747157545872,0.024319228564,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,1,0.3,3.62666666664,3.55238095235,0.0742857142857,0.0742857142857,0.0209115281503,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,5000000,1,0.3,3.62666666664,3.55238095235,0.0742857142857,0.0742857142857,0.0209115281503,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,1,1,3.30476190474,3.37904761902,-0.0742857142848,0.0742857142848,0.0219842164599,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.8,5000000,1,1,3.30476190474,3.37904761902,-0.0742857142848,0.0742857142848,0.0219842164599,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.85,5000000,1,1,3.30476190474,3.37904761902,-0.0742857142848,0.0742857142848,0.0219842164599,s1_sysrisk_samegrid,0.01
