run_id,stage,study,example,n_disc,a_disc,discount,M,seed,w_lr,num_updates,step,q_sup_error,q_mae_error,bellman_residual_inf,coverage_pct,min_visits,mean_visits,policy_gap_abs_p0,policy_gap_abs_p05,policy_gap_abs_p1,policy_cost_p1,reference_cost_p1
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,140,4.927499991805325,3.0473882622606645,0.675,100.0,1.0,1.0,0.030535583486357876,0.054919142503917495,0.07134440473970205,3.4183705946104386,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,205,4.927499991805325,2.9416148702966107,1.1870797876767785,100.0,1.0,1.4642857142857142,0.27733646634100717,0.24469132670942084,0.2185714287534517,3.5655976186241882,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,299,4.607742498802719,2.8258257323015576,0.830652498954215,100.0,2.0,2.1357142857142857,0.02102145475794348,0.06705355857400974,0.0839911904539874,3.431017380324724,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,438,4.240886531758318,2.6960750512383425,0.5831511619885454,100.0,3.0,3.1285714285714286,0.013583464296964554,0.09721676171607507,0.11182059538069611,3.4588467852514326,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,640,4.039436028470789,2.557464877724485,0.5867436524020107,100.0,4.0,4.571428571428571,0.046142857301114226,0.04432142872995026,0.042500000158786744,3.3895261900295233,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,936,3.7236180307299636,2.4031709612820555,0.5374793101622677,100.0,6.0,6.685714285714286,0.0033486473050761134,0.001807726876090765,0.006945238095238615,3.340080951775498,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,1368,3.4106129473391538,2.2401019819619616,0.44086296671532166,100.0,9.0,9.771428571428572,0.0,0.0,0.0,3.3470261898707365,3.3470261898707365
s0_seir_convergence_seed00,stage0_smoke,smoke,seir,4,3,0.9,0.3,0,0.7,2000,2000,3.1017147356374046,2.0740973121083326,0.33616697134151785,100.0,14.0,14.285714285714286,0.0,0.0,0.0,3.3470261898707365,3.3470261898707365
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,36,0.8124999993015081,0.5117187493791183,0.44791666666666674,100.0,1.0,1.0,0.0307015522990971,0.045226685739315764,0.06635802468736074,1.1878858024287586,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,58,0.8124999993015081,0.44146942116395116,0.5438336455417754,100.0,1.0,1.6111111111111112,0.0012402728378653194,0.024318680960343286,0.05015432098365724,1.1716820987250551,1.121527777741398
